data,selic_meta,debt_dbgg,ibc_br,ipca,selic_efetiva,unemployment,usd_brl,selic_next,target
2015-11-01,14.15,23.6,95.53474,1.01,1.06,9.1,3.8499,14.15,0
2015-12-01,14.15,25.03,95.64529,0.96,1.16,9.1,3.870495454545454,14.15,0
2016-01-01,14.15,25.18,90.3646,1.27,1.06,9.6,4.051715,14.15,0
2016-02-01,14.15,27.0,91.98494,0.9,1.0,10.3,3.973115789473684,14.15,0
2016-03-01,14.15,28.09,98.52596,0.43,1.16,11.0,3.7033090909090913,14.15,0
2016-04-01,14.15,28.57,95.37409,0.61,1.06,11.3,3.56524,14.15,0
2016-05-01,14.15,28.89,93.46649,0.78,1.11,11.3,3.538685714285714,14.15,0
2016-06-01,14.15,31.03,94.76115,0.35,1.16,11.4,3.423877272727273,14.15,0
2016-07-01,14.15,32.23,95.82074,0.52,1.11,11.7,3.2749666666666664,14.15,0
2016-08-01,14.15,32.35,96.78617,0.44,1.22,11.9,3.2090565217391305,14.15,0
2016-09-01,14.15,33.26,93.86124,0.08,1.11,11.9,3.2557714285714288,14.05,0
2016-10-01,14.05,33.43,93.22555,0.26,1.05,11.9,3.185245,13.9,0
2016-11-01,13.9,33.21,92.94767,0.18,1.04,12.0,3.34143,13.65,0
2016-12-01,13.65,35.85,93.772,0.3,1.12,12.1,3.351668181818182,13.17,0
2017-01-01,13.17,36.63,90.57006,0.38,1.09,12.7,3.1959863636363637,12.82,0
2017-02-01,12.82,37.51,90.92554,0.33,0.87,13.3,3.103588888888889,12.15,0
2017-03-01,12.15,37.82,99.65428,0.25,1.05,13.9,3.1273304347826087,11.59,0
2017-04-01,11.59,37.79,93.78418,0.14,0.79,13.7,3.135572222222222,11.15,0
2017-05-01,11.15,38.35,95.21498,0.31,0.93,13.4,3.208704545454545,10.15,0
2017-06-01,10.15,38.64,94.58943,-0.23,0.81,13.1,3.294766666666667,10.01,0
2017-07-01,10.01,39.96,97.01666,0.24,0.8,12.9,3.205538095238095,9.15,0
2017-08-01,9.15,40.46,98.23354,0.19,0.8,12.7,3.1503130434782607,8.35,0
2017-09-01,8.35,40.94,94.54955,0.16,0.64,12.5,3.13419,8.01,0
2017-10-01,8.01,40.68,95.51075,0.42,0.64,12.3,3.190638095238095,7.4,0
2017-11-01,7.4,41.05,94.89115,0.28,0.57,12.1,3.258735,7.0,0
2017-12-01,7.0,41.24,95.47513,0.44,0.54,11.9,3.29131,6.9,0
2018-01-01,6.9,41.6,92.89115,0.29,0.58,12.3,3.2099863636363635,6.72,0
2018-02-01,6.72,41.73,91.1643,0.32,0.47,12.7,3.2409055555555555,6.58,0
2018-03-01,6.58,41.73,99.29946,0.09,0.53,13.2,3.2786142857142857,6.4,0
2018-04-01,6.4,41.02,97.46344,0.22,0.52,13.0,3.4069,6.4,0
2018-05-01,6.4,40.38,92.76504,0.4,0.52,12.8,3.635461904761905,6.4,0
2018-06-01,6.4,40.48,96.02945,1.26,0.52,12.6,3.7725714285714287,6.4,0
2018-07-01,6.4,41.21,98.9147,0.33,0.54,12.4,3.8281363636363634,6.4,0
2018-08-01,6.4,39.99,100.53236,-0.09,0.57,12.2,3.9291565217391304,6.4,0
2018-09-01,6.4,40.94,95.18664,0.48,0.47,12.0,4.115947368421053,6.4,0
2018-10-01,6.4,42.18,98.20249,0.45,0.54,11.8,3.7578045454545457,6.4,0
2018-11-01,6.4,41.84,96.70515,-0.21,0.49,11.7,3.786015,6.4,0
2018-12-01,6.4,42.29,95.81656,0.15,0.49,11.7,3.884405,6.4,0
2019-01-01,6.4,42.89,93.83484,0.32,0.54,12.2,3.7410545454545456,6.4,0
2019-02-01,6.4,43.06,93.99179,0.43,0.49,12.5,3.723025,6.4,0
2019-03-01,6.4,42.6,97.46638,0.75,0.47,12.8,3.845884210526316,6.4,0
