data,valor
2003-01-01,67.49271
2003-02-01,69.25682
2003-03-01,72.58714
2003-04-01,71.72667
2003-05-01,70.40022
2003-06-01,69.19646
2003-07-01,72.33567
2003-08-01,71.22676
2003-09-01,72.2091
2003-10-01,73.74203
2003-11-01,71.56369
2003-12-01,70.00686
2004-01-01,69.20022
2004-02-01,69.80791
2004-03-01,78.60094
2004-04-01,75.35917
2004-05-01,74.42395
2004-06-01,75.10617
2004-07-01,78.24655
2004-08-01,77.67031
2004-09-01,76.65876
2004-10-01,76.43277
2004-11-01,76.92127
2004-12-01,75.50013
2005-01-01,72.6658
2005-02-01,73.00268
2005-03-01,81.01805
2005-04-01,78.86207
2005-05-01,77.81558
2005-06-01,78.26147
2005-07-01,79.42442
2005-08-01,80.8276
2005-09-01,77.88041
2005-10-01,78.14453
2005-11-01,78.42779
2005-12-01,78.08966
2006-01-01,76.19632
2006-02-01,75.66551
2006-03-01,83.59438
2006-04-01,79.04486
2006-05-01,82.25831
2006-06-01,80.30003
2006-07-01,83.81321
2006-08-01,84.97698
2006-09-01,81.57367
2006-10-01,83.75986
2006-11-01,83.29786
2006-12-01,81.63645
2007-01-01,80.57065
2007-02-01,79.54685
2007-03-01,87.81556
2007-04-01,84.43662
2007-05-01,86.96866
2007-06-01,85.89777
2007-07-01,89.74162
2007-08-01,90.58405
2007-09-01,86.50348
2007-10-01,90.66664
2007-11-01,88.35713
2007-12-01,85.93561
2008-01-01,85.53311
2008-02-01,85.5688
2008-03-01,90.541
2008-04-01,90.88392
2008-05-01,90.49341
2008-06-01,91.66155
2008-07-01,95.83578
2008-08-01,93.96685
2008-09-01,93.0753
2008-10-01,93.21252
2008-11-01,87.44781
2008-12-01,83.45882
2009-01-01,80.85985
2009-02-01,80.90038
2009-03-01,89.71279
2009-04-01,86.40147
2009-05-01,87.32393
2009-06-01,88.16899
2009-07-01,92.25741
2009-08-01,91.74164
2009-09-01,91.11559
2009-10-01,92.99342
2009-11-01,90.98435
2009-12-01,90.70894
2010-01-01,88.30825
2010-02-01,89.57084
2010-03-01,100.68303
2010-04-01,96.07002
2010-05-01,95.82489
2010-06-01,95.52389
2010-07-01,99.41933
2010-08-01,99.35391
2010-09-01,97.8898
2010-10-01,97.79701
2010-11-01,98.04411
2010-12-01,95.94389
2011-01-01,93.1191
2011-02-01,95.58846
2011-03-01,101.73266
2011-04-01,98.18854
2011-05-01,100.53753
2011-06-01,99.4965
